+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
| Coppin State               |  -0.576218 |     272 |   -8.36812 |      291 |
| Cal State Fullerton        |  -0.578613 |     273 |   -4.59391 |      250 |
| South Alabama              |  -0.585676 |     274 |   -5.51312 |      267 |
| Savannah State             |  -0.590105 |     275 |   -5.95148 |      273 |
| Loyola (MD)                |  -0.603602 |     276 |   -8.33707 |      290 |
| Monmouth                   |  -0.604305 |     277 |   -5.46674 |      266 |
| Hofstra                    |  -0.613055 |     278 |   -5.30284 |      260 |
| Troy                       |  -0.613223 |     279 |   -4.31078 |      241 |
| Loyola (IL)                |  -0.626156 |     280 |   -4.58297 |      248 |
| Fairleigh Dickinson        |  -0.628859 |     281 |   -7.10999 |      282 |
| Jacksonville               |  -0.636204 |     282 |   -9.37515 |      306 |
| Montana State              |  -0.642362 |     283 |   -9.46642 |      307 |
| Charleston Southern        |  -0.646695 |     284 |   -3.90262 |      232 |
| Florida A&M                |  -0.648648 |     285 |   -9.17941 |      300 |
| Western Illinois           |   -0.65018 |     286 |   -5.54134 |      268 |
| Marshall                   |  -0.661821 |     287 |   -5.14669 |      254 |
| Jackson State              |  -0.665229 |     288 |   -9.56004 |      308 |
| Florida Atlantic           |  -0.670843 |     289 |   -5.19873 |      257 |
| Pennsylvania               |  -0.672725 |     290 |   -5.87768 |      271 |
| Southeastern Louisiana     |    -0.6838 |     291 |   -10.0845 |      314 |
| Austin Peay                |  -0.684198 |     292 |   -8.86569 |      295 |
| Central Michigan           |  -0.694192 |     293 |   -7.52977 |      283 |
| North Carolina-Wilmington  |  -0.699039 |     294 |    -7.0983 |      281 |
| Massachusetts-Lowell       |  -0.708785 |     295 |   -9.66527 |      310 |
| Saint Francis (PA)         |  -0.723485 |     296 |   -9.16516 |      299 |
| Central Connecticut State  |  -0.738188 |     297 |   -9.31355 |      305 |
| San Jose State             |  -0.741883 |     298 |   -9.22023 |      303 |
| Eastern Illinois           |  -0.743632 |     299 |   -9.08334 |      298 |
| Idaho State                |  -0.743874 |     300 |   -5.17836 |      256 |
| Georgia Southern           |   -0.74637 |     301 |   -8.70622 |      293 |
| North Carolina-Greensboro  |  -0.748265 |     302 |   -10.7934 |      318 |
| Fairfield                  |  -0.755968 |     303 |   -5.35094 |      263 |
| NJIT                       |  -0.762216 |     304 |   -9.04889 |      297 |
| Long Island University     |  -0.763448 |     305 |   -11.1829 |      320 |
| Prairie View               |  -0.767052 |     306 |   -12.0189 |      327 |
| Alcorn State               |  -0.797753 |     307 |   -11.8692 |      326 |
| Samford                    |  -0.805783 |     308 |   -11.3661 |      325 |
| Niagara                    |  -0.816864 |     309 |   -6.29359 |      276 |
| Texas State                |  -0.831148 |     310 |   -6.82722 |      279 |
| Northern Kentucky          |   -0.83516 |     311 |   -9.96541 |      313 |
| Jacksonville State         |  -0.853536 |     312 |   -10.3619 |      316 |
| California-Riverside       |  -0.855953 |     313 |   -6.51357 |      278 |
| Texas-Pan American         |  -0.861524 |     314 |    -8.6857 |      292 |
| Ball State                 |  -0.863678 |     315 |   -8.22374 |      286 |
| Texas-San Antonio          |  -0.872073 |     316 |   -9.87897 |      312 |
| Navy                       |  -0.904861 |     317 |   -8.31989 |      288 |
| Rice                       |  -0.940747 |     318 |   -9.62822 |      309 |
| Campbell                   |  -0.943341 |     319 |   -13.2608 |      336 |
| Maryland-Baltimore County  |  -0.971913 |     320 |   -11.2266 |      322 |
| Liberty                    |  -0.990888 |     321 |   -9.03549 |      296 |
| Illinois-Chicago           |  -0.991216 |     322 |   -5.73837 |      270 |
| Central Arkansas           |   -1.00099 |     323 |   -13.2155 |      335 |
| California-Davis           |   -1.00988 |     324 |    -10.616 |      317 |
| Tennessee State            |   -1.02481 |     325 |   -7.98862 |      284 |
| South Carolina State       |   -1.02694 |     326 |   -14.6638 |      342 |
| North Carolina A&T         |   -1.02743 |     327 |   -13.5684 |      337 |
| Delaware State             |   -1.03155 |     328 |   -9.81958 |      311 |
| Stetson                    |   -1.04554 |     329 |   -14.5457 |      341 |
| Howard                     |   -1.05489 |     330 |   -12.4801 |      330 |
| Tennessee-Martin           |   -1.06018 |     331 |   -11.2805 |      323 |
| IUPUI                      |   -1.06929 |     332 |   -13.0993 |      332 |
| Mississippi Valley State   |   -1.09853 |     333 |   -16.7231 |      348 |
| Binghamton                 |   -1.10338 |     334 |   -12.2774 |      329 |
| Furman                     |   -1.12324 |     335 |   -15.2749 |      346 |
| Abilene Christian          |   -1.16354 |     336 |   -15.0547 |      345 |
| Houston Baptist            |   -1.17579 |     337 |   -14.9469 |      344 |
| Maine                      |   -1.18427 |     338 |   -13.8051 |      338 |
| Kennesaw State             |   -1.19424 |     339 |   -14.2387 |      339 |
| Appalachian State          |   -1.19638 |     340 |   -13.1228 |      333 |
| Sacred Heart               |   -1.23262 |     341 |   -10.2634 |      315 |
| Bethune-Cookman            |    -1.2522 |     342 |   -12.2763 |      328 |
| Lamar                      |   -1.26491 |     343 |   -14.2555 |      340 |
| Grambling                  |   -1.27733 |     344 |   -18.2228 |      351 |
| Longwood                   |   -1.28165 |     345 |   -16.5515 |      347 |
| New Hampshire              |   -1.29561 |     346 |    -11.186 |      321 |
| Maryland-Eastern Shore     |   -1.29946 |     347 |   -13.1983 |      334 |
| Cornell                    |   -1.31522 |     348 |   -12.5799 |      331 |
| Citadel                    |   -1.38267 |     349 |   -14.7133 |      343 |
| Presbyterian               |   -1.49458 |     350 |   -17.5459 |      350 |
| Southern Utah              |   -1.55566 |     351 |    -17.517 |      349 |
+----------------------------+------------+---------+------------+----------+
