+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
| Denver                     |   0.111359 |     147 |    2.22694 |      135 |
| Wake Forest                |   0.262826 |     118 |    2.05366 |      136 |
| Akron                      |   0.485451 |      88 |    1.95838 |      137 |
| Long Beach State           | -0.0435492 |     174 |    1.95549 |      138 |
| Colorado State             | -0.0667145 |     180 |     1.9258 |      139 |
| Boston College             |  -0.327122 |     242 |    1.77978 |      140 |
| George Mason               |  -0.051322 |     177 |    1.76299 |      141 |
| Nevada                     |   0.101994 |     149 |      1.614 |      142 |
| San Diego                  |  0.0622783 |     157 |    1.57632 |      143 |
| Houston                    |   0.129081 |     145 |    1.54164 |      144 |
| Hawaii                     |  0.0891742 |     151 |     1.4806 |      145 |
| Holy Cross                 |   0.163353 |     138 |    1.36456 |      146 |
| Quinnipiac                 |   0.386275 |     104 |    1.33215 |      147 |
| Santa Clara                |   -0.16914 |     201 |    1.32132 |      148 |
| Murray State               |   0.144921 |     141 |    1.10952 |      149 |
| Illinois State             |   0.183334 |     132 |    1.08584 |      150 |
| Southern Illinois          |  -0.148198 |     197 |   0.974391 |      151 |
| Central Florida            |  -0.223735 |     218 |   0.953241 |      152 |
| Drexel                     |   0.196378 |     130 |   0.887199 |      153 |
| Valparaiso                 |  0.0099001 |     164 |    0.72349 |      154 |
| Milwaukee                  |   0.340721 |     111 |   0.620147 |      155 |
| Stony Brook                |   0.127703 |     146 |   0.590584 |      156 |
| Missouri State             |   0.442353 |      95 |   0.589107 |      157 |
| Bucknell                   | -0.0322836 |     172 |   0.538779 |      158 |
| Brown                      |  -0.191908 |     209 |   0.526126 |      159 |
| Arkansas State             |  0.0811402 |     152 |   0.522978 |      160 |
| Southern California        |    -0.0891 |     186 |   0.376992 |      161 |
| Weber State                | -0.0101037 |     170 |   0.313941 |      162 |
| Temple                     |  -0.273998 |     236 |   0.277456 |      163 |
| Pacific                    |   0.189157 |     131 |  0.0478475 |      164 |
| William & Mary             |   0.283139 |     115 |  0.0164968 |      165 |
| Albany (NY)                |  -0.109654 |     190 | -0.0500451 |      166 |
| Yale                       | 0.00892263 |     167 |   -0.06062 |      167 |
| Siena                      | -0.0778143 |     184 |  -0.101769 |      168 |
| Pepperdine                 |  0.0746971 |     154 |  -0.195745 |      169 |
| Florida Gulf Coast         |  0.0453981 |     160 |  -0.300162 |      170 |
| Colgate                    |  -0.467207 |     261 |  -0.302104 |      171 |
| DePaul                     |  0.0419716 |     161 |  -0.325243 |      172 |
| Nebraska-Omaha             | -0.0956321 |     188 |  -0.420421 |      173 |
| Rutgers                    |  -0.283484 |     237 |  -0.508987 |      174 |
| Northwestern State         |  0.0280006 |     163 |  -0.540815 |      175 |
| South Carolina Upstate     | -0.0447347 |     175 |  -0.628476 |      176 |
| Alabama-Birmingham         |  0.0701743 |     156 |  -0.644277 |      177 |
| Wagner                     | -0.0386724 |     173 |    -0.6554 |      178 |
| Washington State           |  -0.209588 |     214 |  -0.759402 |      179 |
| Western Kentucky           |   0.262062 |     119 |  -0.822913 |      180 |
| Wofford                    |  0.0339004 |     162 |  -0.832811 |      181 |
| Cal Poly                   |  -0.268745 |     234 |  -0.887931 |      182 |
| Virginia Tech              |  -0.467096 |     260 |  -0.931157 |      183 |
| Youngstown State           |  -0.210189 |     215 |  -0.991637 |      184 |
| Oakland                    |  -0.137933 |     196 |   -1.11991 |      185 |
| Morehead State             |   0.139847 |     142 |   -1.14788 |      186 |
| Detroit Mercy              |  -0.261672 |     231 |    -1.2258 |      187 |
| Marist                     |  -0.332463 |     244 |   -1.37198 |      188 |
| Kent State                 | -0.0928608 |     187 |     -1.388 |      189 |
| Loyola Marymount           | -0.0674302 |     181 |   -1.47416 |      190 |
| Mount St. Mary's           |  -0.117877 |     192 |   -1.52576 |      191 |
| Robert Morris              |   0.220018 |     125 |   -1.57488 |      192 |
| Oral Roberts               | -0.0246566 |     171 |   -1.59674 |      193 |
| Northern Illinois          |  -0.109912 |     191 |   -1.62483 |      194 |
| College of Charleston      |  -0.335819 |     246 |   -1.63509 |      195 |
| Old Dominion               | -0.0753081 |     183 |   -1.78222 |      196 |
| Utah Valley                |    0.15485 |     139 |   -1.84165 |      197 |
| South Florida              |  -0.300128 |     239 |   -1.87223 |      198 |
| Sam Houston State          |    0.31705 |     112 |   -1.89693 |      199 |
| St. Francis (NY)           | -0.0649793 |     179 |   -2.01603 |      200 |
| Drake                      |  0.0030138 |     169 |   -2.04553 |      201 |
| Southern                   | 0.00694834 |     168 |   -2.13154 |      202 |
| Charlotte                  |  0.0590014 |     158 |   -2.25463 |      203 |
| Bryant                     | -0.0557648 |     178 |   -2.43416 |      204 |
| Northeastern               |  -0.334478 |     245 |   -2.49508 |      205 |
| Miami (OH)                 |  0.0095351 |     165 |   -2.58716 |      206 |
| Saint Peter's              |  -0.236416 |     223 |   -2.59622 |      207 |
| Hampton                    | -0.0876804 |     185 |   -2.62121 |      208 |
| Bowling Green State        |  -0.211446 |     216 |   -2.66747 |      209 |
| Fordham                    |  -0.254725 |     229 |   -2.68203 |      210 |
| Cal State Northridge       |    -0.3548 |     249 |   -2.76299 |      211 |
| Rider                      |  -0.161075 |     198 |   -2.77159 |      212 |
| Mississippi State          |  -0.243884 |     225 |   -2.85036 |      213 |
| Army                       |  -0.331054 |     243 |   -2.85701 |      214 |
| Bradley                    |  -0.392019 |     254 |   -2.95321 |      215 |
| Hartford                   |  -0.291795 |     238 |   -2.97321 |      216 |
| Texas Christian            |  -0.249799 |     227 |   -2.98692 |      217 |
| Elon                       | -0.0483182 |     176 |   -2.99241 |      218 |
| Montana                    |  -0.186226 |     207 |   -3.04627 |      219 |
